claim_id,policy_id,claim_amount_requested,claim_amount_settled,settlement_time_days,claim_status,is_fraudulent
CLM-10166,POL-10173,2875.38,2199.56,32,Approved,0
CLM-10167,POL-10178,1268.54,821.59,37,Approved,0
CLM-10168,POL-10179,3626.59,2258.28,13,Approved,0
CLM-10169,POL-10180,657.05,0.0,14,Rejected,0
CLM-10170,POL-10184,10262.31,0.0,75,Rejected,1
CLM-10171,POL-10185,4492.64,4085.61,29,Approved,0
CLM-10172,POL-10187,4016.9,2436.5,22,Approved,0
CLM-10173,POL-10187,2983.13,0.0,32,Pending,0
CLM-10174,POL-10188,4092.67,0.0,70,Rejected,1
CLM-10175,POL-10188,3750.13,0.0,38,Rejected,0
CLM-10176,POL-10190,1363.06,1275.18,45,Approved,0
CLM-10177,POL-10191,914.09,0.0,24,Rejected,0
CLM-10178,POL-10192,4622.43,3233.54,27,Approved,0
CLM-10179,POL-10192,3242.68,2532.57,14,Approved,0
CLM-10180,POL-10193,3537.82,3237.0,43,Approved,0
CLM-10181,POL-10194,1915.09,1406.45,10,Approved,0
CLM-10182,POL-10195,2084.34,0.0,35,Rejected,0
CLM-10183,POL-10196,482.73,447.56,36,Approved,0
CLM-10184,POL-10197,4794.08,0.0,40,Pending,0
CLM-10185,POL-10198,382.73,0.0,31,Pending,0
CLM-10186,POL-10198,2171.3,2012.75,1,Approved,0
CLM-10187,POL-10199,4850.95,4182.03,21,Approved,0
CLM-10188,POL-10201,6782.73,0.0,46,Rejected,1
CLM-10189,POL-10202,2988.85,2409.24,15,Approved,0
CLM-10190,POL-10203,3395.11,0.0,26,Rejected,0
CLM-10191,POL-10204,4767.13,4484.77,10,Approved,0
CLM-10192,POL-10205,3393.83,0.0,1,Rejected,0
CLM-10193,POL-10206,3722.91,0.0,1,Rejected,0
CLM-10194,POL-10207,1369.49,990.95,13,Approved,0
CLM-10195,POL-10208,2560.29,0.0,1,Rejected,0
CLM-10196,POL-10211,2678.77,0.0,4,Pending,0
CLM-10197,POL-10212,2634.19,2555.05,35,Approved,0
CLM-10198,POL-10214,3801.2,2740.82,13,Approved,0
CLM-10199,POL-10215,4187.08,0.0,44,Rejected,0
CLM-10200,POL-10216,1935.57,1758.47,24,Approved,0
CLM-10201,POL-10217,1350.37,899.07,20,Approved,0
CLM-10202,POL-10220,2618.07,0.0,36,Rejected,0
CLM-10203,POL-10222,4046.41,3611.82,25,Approved,0
CLM-10204,POL-10223,3697.07,3036.46,21,Approved,0
CLM-10205,POL-10224,4157.36,0.0,4,Rejected,0
CLM-10206,POL-10224,2106.07,2007.66,40,Approved,0
CLM-10207,POL-10226,3634.79,2421.51,1,Approved,0
CLM-10208,POL-10227,735.43,657.73,1,Approved,0
CLM-10209,POL-10228,1317.89,0.0,20,Rejected,0
CLM-10210,POL-10229,321.02,201.02,22,Approved,0
CLM-10211,POL-10230,2788.29,2332.85,8,Approved,0
CLM-10212,POL-10231,384.49,0.0,1,Pending,0
CLM-10213,POL-10235,2107.68,0.0,7,Rejected,0
CLM-10214,POL-10236,2890.47,0.0,1,Rejected,0
CLM-10215,POL-10236,1754.82,1216.28,26,Approved,0
CLM-10216,POL-10236,2352.16,2156.65,1,Approved,0
CLM-10217,POL-10237,1883.96,0.0,66,Rejected,1
CLM-10218,POL-10238,2703.46,0.0,13,Rejected,0
CLM-10219,POL-10238,4800.08,0.0,38,Rejected,0
CLM-10220,POL-10239,772.2,755.53,5,Approved,0
CLM-10221,POL-10239,621.13,456.84,31,Approved,0
CLM-10222,POL-10239,2490.14,1498.34,41,Approved,0
CLM-10223,POL-10240,4995.86,3587.25,11,Approved,0
CLM-10224,POL-10240,3281.06,0.0,13,Pending,0
CLM-10225,POL-10240,3289.95,0.0,7,Pending,0
CLM-10226,POL-10241,4861.3,0.0,31,Rejected,0
CLM-10227,POL-10241,1522.67,1496.81,28,Approved,0
CLM-10228,POL-10242,2716.4,0.0,1,Rejected,0
CLM-10229,POL-10243,2031.18,1322.48,25,Approved,0
CLM-10230,POL-10244,7045.31,0.0,52,Rejected,1
CLM-10231,POL-10244,600.44,0.0,31,Rejected,0
CLM-10232,POL-10245,3050.36,2176.06,16,Approved,0
CLM-10233,POL-10246,3299.07,0.0,20,Rejected,0
CLM-10234,POL-10247,3093.86,1890.26,20,Approved,0
CLM-10235,POL-10247,4576.77,4405.6,18,Approved,0
CLM-10236,POL-10247,3814.8,3494.32,19,Approved,0
CLM-10237,POL-10248,4674.09,3233.75,11,Approved,0
CLM-10238,POL-10250,2443.48,0.0,24,Pending,0
CLM-10239,POL-10251,838.87,0.0,1,Rejected,0
CLM-10240,POL-10251,4366.95,3902.78,4,Approved,0
CLM-10241,POL-10253,3198.73,3035.87,42,Approved,0
CLM-10242,POL-10254,3562.33,0.0,20,Rejected,0
CLM-10243,POL-10256,4909.66,3298.09,1,Approved,0
CLM-10244,POL-10256,3735.04,2473.77,16,Approved,0
CLM-10245,POL-10259,4137.06,3973.92,43,Approved,0
CLM-10246,POL-10259,3698.48,0.0,29,Pending,0
CLM-10247,POL-10262,1926.76,0.0,7,Pending,0
CLM-10248,POL-10263,703.41,0.0,31,Pending,0
CLM-10249,POL-10263,1628.58,1383.36,28,Approved,0
CLM-10250,POL-10264,2603.3,2305.32,8,Approved,0
CLM-10251,POL-10266,1246.7,0.0,21,Rejected,0
CLM-10252,POL-10267,3583.62,2186.53,24,Approved,0
CLM-10253,POL-10267,887.76,756.48,16,Approved,0
CLM-10254,POL-10268,12124.45,0.0,52,Pending,1
CLM-10255,POL-10269,3315.61,3257.82,20,Approved,0
CLM-10256,POL-10270,2486.8,2436.39,42,Approved,0
CLM-10257,POL-10270,2241.2,1715.52,28,Approved,0
CLM-10258,POL-10272,3376.2,2431.18,25,Approved,0
CLM-10259,POL-10272,3366.18,0.0,18,Rejected,0
CLM-10260,POL-10273,14556.07,0.0,51,Rejected,1
CLM-10261,POL-10275,2028.56,0.0,11,Rejected,0
CLM-10262,POL-10277,4963.83,3746.1,39,Approved,0
CLM-10263,POL-10278,378.83,355.05,34,Approved,0
CLM-10264,POL-10285,290.96,223.27,2,Approved,0
CLM-10265,POL-10288,4698.86,3792.39,30,Approved,0
CLM-10266,POL-10289,2222.35,0.0,19,Rejected,0
CLM-10267,POL-10290,1005.44,0.0,2,Pending,0
CLM-10268,POL-10292,4859.43,4050.77,31,Approved,0
CLM-10269,POL-10292,4080.99,3448.72,43,Approved,0
CLM-10270,POL-10293,1815.6,0.0,58,Rejected,1
CLM-10271,POL-10294,11529.2,0.0,70,Rejected,1
CLM-10272,POL-10295,2800.2,2071.13,17,Approved,0
CLM-10273,POL-10297,3939.54,3562.92,7,Approved,0
CLM-10274,POL-10298,1004.4,750.09,9,Approved,0
CLM-10275,POL-10299,3404.0,3319.23,16,Approved,0
CLM-10276,POL-10300,1881.45,1447.17,36,Approved,0
CLM-10277,POL-10301,393.87,0.0,21,Rejected,0
CLM-10278,POL-10302,1682.44,1482.57,5,Approved,0
CLM-10279,POL-10303,906.82,635.6,26,Approved,0
CLM-10280,POL-10304,4183.23,0.0,27,Pending,0
CLM-10281,POL-10305,4796.19,0.0,11,Pending,0
CLM-10282,POL-10305,2990.75,2038.65,22,Approved,0
CLM-10283,POL-10305,4069.89,2485.31,11,Approved,0
CLM-10284,POL-10306,2653.63,2563.67,5,Approved,0
CLM-10285,POL-10308,772.73,770.91,34,Approved,0
CLM-10286,POL-10308,2084.7,0.0,38,Pending,0
CLM-10287,POL-10310,1306.59,0.0,28,Rejected,0
CLM-10288,POL-10312,554.89,0.0,15,Rejected,0
CLM-10289,POL-10312,2202.25,1907.14,28,Approved,0
CLM-10290,POL-10314,3873.5,3242.1,37,Approved,0
CLM-10291,POL-10317,567.59,473.42,1,Approved,0
CLM-10292,POL-10317,4166.27,2581.2,25,Approved,0
CLM-10293,POL-10318,3320.16,2830.6,1,Approved,0
CLM-10294,POL-10321,3071.04,2498.71,2,Approved,0
CLM-10295,POL-10323,3223.25,1979.53,31,Approved,0
CLM-10296,POL-10326,1383.16,1068.31,9,Approved,0
CLM-10297,POL-10328,4341.86,4141.32,27,Approved,0
CLM-10298,POL-10329,3970.82,3257.66,31,Approved,0
CLM-10299,POL-10329,3850.81,0.0,50,Rejected,0
CLM-10300,POL-10330,842.61,635.46,21,Approved,0
CLM-10301,POL-10330,3590.66,3382.13,1,Approved,0
CLM-10302,POL-10332,4107.11,3243.37,35,Approved,0
CLM-10303,POL-10333,845.61,777.13,33,Approved,0
CLM-10304,POL-10333,415.52,267.05,9,Approved,0
CLM-10305,POL-10335,1318.42,1218.73,22,Approved,0
CLM-10306,POL-10336,2149.23,1572.67,4,Approved,0
CLM-10307,POL-10338,1890.31,1710.59,22,Approved,0
CLM-10308,POL-10338,3590.76,3169.49,35,Approved,0
CLM-10309,POL-10339,304.67,0.0,39,Pending,0
CLM-10310,POL-10339,4259.39,3657.27,8,Approved,0
CLM-10311,POL-10339,4337.77,0.0,24,Rejected,0
CLM-10312,POL-10340,1777.43,0.0,8,Pending,0
CLM-10313,POL-10341,684.63,647.56,41,Approved,0
CLM-10314,POL-10343,3479.5,2344.76,23,Approved,0
CLM-10315,POL-10343,3114.84,3023.21,21,Approved,0
CLM-10316,POL-10344,1608.98,0.0,43,Pending,0
CLM-10317,POL-10347,4997.64,4208.06,11,Approved,0
CLM-10318,POL-10347,710.88,565.55,43,Approved,0
CLM-10319,POL-10347,1641.3,1619.71,4,Approved,0
CLM-10320,POL-10350,4543.29,0.0,40,Rejected,0
CLM-10321,POL-10351,556.29,500.34,12,Approved,0
CLM-10322,POL-10354,1972.49,1615.67,47,Approved,0
CLM-10323,POL-10356,3670.57,3025.34,15,Approved,0
CLM-10324,POL-10357,2052.46,1744.46,3,Approved,0
CLM-10325,POL-10357,3074.48,3034.36,30,Approved,0
CLM-10326,POL-10358,1436.91,1404.75,13,Approved,0
CLM-10327,POL-10358,4349.88,0.0,24,Rejected,0
CLM-10328,POL-10359,4203.39,3302.42,1,Approved,0
CLM-10329,POL-10363,2631.92,2263.57,11,Approved,0
CLM-10330,POL-10363,4326.04,4168.87,17,Approved,0
CLM-10331,POL-10364,962.76,706.26,30,Approved,0
CLM-10332,POL-10364,3098.52,3018.86,60,Approved,0
CLM-10333,POL-10365,4201.19,2963.79,6,Approved,0
CLM-10334,POL-10367,2867.32,1858.67,1,Approved,0
CLM-10335,POL-10367,2784.02,2377.2,11,Approved,0
CLM-10336,POL-10368,535.22,0.0,51,Pending,0
CLM-10337,POL-10368,2099.42,1930.47,33,Approved,0
CLM-10338,POL-10368,1666.35,0.0,44,Pending,0
CLM-10339,POL-10370,8512.99,0.0,72,Rejected,1
CLM-10340,POL-10370,1428.01,0.0,4,Pending,0
CLM-10341,POL-10371,1998.37,1267.3,17,Approved,0
CLM-10342,POL-10372,3236.35,2499.38,57,Approved,0
CLM-10343,POL-10374,1755.51,1580.41,14,Approved,0
CLM-10344,POL-10375,1256.0,1056.99,20,Approved,0
CLM-10345,POL-10375,1743.88,1089.18,10,Approved,0
CLM-10346,POL-10376,1656.12,1572.74,28,Approved,0
CLM-10347,POL-10377,2926.76,0.0,13,Rejected,0
CLM-10348,POL-10378,2501.27,0.0,1,Rejected,0
CLM-10349,POL-10379,3691.09,0.0,3,Pending,0
CLM-10350,POL-10379,1646.96,0.0,17,Pending,0
CLM-10351,POL-10379,600.02,0.0,34,Pending,0
CLM-10352,POL-10380,4437.43,2893.42,44,Approved,0
CLM-10353,POL-10380,360.73,0.0,19,Rejected,0
CLM-10354,POL-10381,2318.06,1847.87,38,Approved,0
CLM-10355,POL-10382,786.32,0.0,35,Rejected,0
CLM-10356,POL-10383,2282.14,1803.55,28,Approved,0
CLM-10357,POL-10383,801.25,559.27,18,Approved,0
CLM-10358,POL-10386,3291.26,0.0,5,Pending,0
CLM-10359,POL-10386,1737.08,1499.43,47,Approved,0
CLM-10360,POL-10387,4778.81,4750.95,1,Approved,0
CLM-10361,POL-10387,2430.56,0.0,13,Pending,0
CLM-10362,POL-10389,4145.13,4123.45,7,Approved,0
CLM-10363,POL-10390,2185.95,0.0,46,Pending,0
CLM-10364,POL-10392,1495.76,1395.13,20,Approved,0
CLM-10365,POL-10394,1283.96,1019.83,29,Approved,0
CLM-10366,POL-10396,10934.6,0.0,66,Rejected,1
CLM-10367,POL-10396,4118.01,2729.05,2,Approved,0
CLM-10368,POL-10396,9561.22,0.0,75,Rejected,1
CLM-10369,POL-10397,1957.03,1417.05,9,Approved,0
CLM-10370,POL-10397,4066.92,3964.06,9,Approved,0
CLM-10371,POL-10397,2236.8,1690.28,8,Approved,0
CLM-10372,POL-10398,3793.44,3376.29,1,Approved,0
CLM-10373,POL-10398,1653.28,0.0,33,Pending,0
CLM-10374,POL-10398,2036.09,0.0,24,Rejected,0
CLM-10375,POL-10399,4423.01,3979.57,34,Approved,0
CLM-10376,POL-10400,1830.01,0.0,20,Rejected,0
CLM-10377,POL-10402,4287.72,3675.26,22,Approved,0
CLM-10378,POL-10403,540.48,0.0,25,Pending,0
CLM-10379,POL-10404,4457.96,3808.21,23,Approved,0
CLM-10380,POL-10405,4356.59,0.0,1,Rejected,0
CLM-10381,POL-10406,4220.33,3783.52,10,Approved,0
CLM-10382,POL-10407,1521.36,0.0,1,Rejected,0
CLM-10383,POL-10407,3315.22,0.0,21,Rejected,0
CLM-10384,POL-10407,4224.38,0.0,37,Rejected,0
CLM-10385,POL-10408,1737.57,1626.57,50,Approved,0
CLM-10386,POL-10409,3292.27,0.0,15,Rejected,0
CLM-10387,POL-10410,4989.91,4507.66,10,Approved,0
CLM-10388,POL-10410,1718.28,0.0,34,Pending,0
CLM-10389,POL-10412,3522.17,0.0,22,Pending,0
CLM-10390,POL-10414,4815.35,0.0,28,Rejected,0
CLM-10391,POL-10417,1039.94,0.0,33,Rejected,0
CLM-10392,POL-10418,2189.25,2060.11,28,Approved,0
CLM-10393,POL-10419,1596.84,0.0,20,Pending,0
CLM-10394,POL-10419,255.34,195.55,12,Approved,0
CLM-10395,POL-10419,1379.81,913.71,1,Approved,0
CLM-10396,POL-10421,793.29,681.52,34,Approved,0
CLM-10397,POL-10422,1826.1,1126.07,14,Approved,0
CLM-10398,POL-10423,3203.98,0.0,15,Pending,0
CLM-10399,POL-10424,3675.36,3419.68,52,Approved,0
CLM-10400,POL-10427,3019.88,2229.73,2,Approved,0
CLM-10401,POL-10428,2544.08,1971.87,20,Approved,0
CLM-10402,POL-10432,3514.76,3014.87,33,Approved,0
CLM-10403,POL-10433,2529.04,2449.18,23,Approved,0
CLM-10404,POL-10434,4801.73,4057.22,1,Approved,0
CLM-10405,POL-10436,2618.19,2240.6,42,Approved,0
CLM-10406,POL-10437,1976.02,1189.24,14,Approved,0
CLM-10407,POL-10439,1402.13,1139.95,29,Approved,0
CLM-10408,POL-10439,4664.35,4449.31,17,Approved,0
CLM-10409,POL-10439,961.87,947.95,9,Approved,0
CLM-10410,POL-10441,3511.97,0.0,21,Pending,0
CLM-10411,POL-10442,2800.81,0.0,30,Rejected,0
CLM-10412,POL-10443,1015.21,0.0,24,Rejected,0
CLM-10413,POL-10445,3768.11,2987.88,17,Approved,0
CLM-10414,POL-10445,4655.66,4416.65,1,Approved,0
CLM-10415,POL-10445,4000.17,3705.77,34,Approved,0
CLM-10416,POL-10447,2571.08,2207.54,20,Approved,0
CLM-10417,POL-10448,4701.63,3411.57,9,Approved,0
CLM-10418,POL-10449,2996.42,2891.16,26,Approved,0
CLM-10419,POL-10452,1274.8,0.0,42,Pending,0
CLM-10420,POL-10455,4198.03,3379.84,2,Approved,0
CLM-10421,POL-10460,1671.48,0.0,12,Pending,0
CLM-10422,POL-10461,1779.58,1377.14,34,Approved,0
CLM-10423,POL-10461,2964.96,0.0,1,Pending,0
CLM-10424,POL-10461,3490.17,2573.16,11,Approved,0
CLM-10425,POL-10462,1814.98,1299.01,1,Approved,0
CLM-10426,POL-10464,4522.98,3347.78,42,Approved,0
CLM-10427,POL-10469,1115.45,944.97,8,Approved,0
CLM-10428,POL-10470,1400.22,0.0,6,Rejected,0
CLM-10429,POL-10472,4783.24,0.0,21,Rejected,0
CLM-10430,POL-10472,4224.31,3185.92,50,Approved,0
CLM-10431,POL-10473,2155.23,0.0,38,Pending,0
CLM-10432,POL-10474,3935.05,2544.36,25,Approved,0
CLM-10433,POL-10475,1293.4,1215.23,3,Approved,0
CLM-10434,POL-10476,3973.92,3229.91,5,Approved,0
CLM-10435,POL-10476,2331.82,2214.34,21,Approved,0
CLM-10436,POL-10477,2577.0,0.0,16,Rejected,0
CLM-10437,POL-10479,220.82,201.73,8,Approved,0
CLM-10438,POL-10481,4840.97,4073.64,9,Approved,0
CLM-10439,POL-10482,2620.47,0.0,18,Rejected,0
CLM-10440,POL-10482,1318.88,0.0,23,Pending,0
CLM-10441,POL-10483,4497.16,0.0,35,Pending,0
CLM-10442,POL-10484,2410.31,1865.42,24,Approved,0
CLM-10443,POL-10486,8206.29,0.0,72,Rejected,1
CLM-10444,POL-10487,4149.67,3901.5,24,Approved,0
CLM-10445,POL-10488,619.41,0.0,10,Rejected,0
CLM-10446,POL-10489,1743.93,1164.43,1,Approved,0
CLM-10447,POL-10492,4138.06,0.0,6,Pending,0
CLM-10448,POL-10493,3314.22,3051.24,22,Approved,0
CLM-10449,POL-10494,3210.81,0.0,14,Pending,0
CLM-10450,POL-10495,2405.75,2316.07,16,Approved,0
CLM-10451,POL-10495,315.74,0.0,15,Rejected,0
CLM-10452,POL-10497,3588.05,0.0,16,Rejected,0
CLM-10453,POL-10499,3607.43,3191.64,30,Approved,0
CLM-10454,POL-10500,3534.84,2932.72,22,Approved,0
