customer_id,age,gender,policy_id,policy_type,premium_amount,sales_channel,tenure_months,is_churned
CUST-10129,50,Female,POL-10129,Health,1082.68,Direct,62,0
CUST-10130,22,Female,POL-10130,Motor,2203.15,Online,89,1
CUST-10131,59,Male,POL-10131,Property,815.15,Bank,85,0
CUST-10132,56,Female,POL-10132,Motor,128.49,Direct,76,0
CUST-10133,75,Male,POL-10133,Health,821.57,Direct,90,0
CUST-10134,58,Male,POL-10134,Property,1487.38,Online,29,1
CUST-10135,45,Female,POL-10135,Motor,1002.25,Broker,102,0
CUST-10136,24,Female,POL-10136,Motor,1383.69,Broker,99,0
CUST-10137,26,Male,POL-10137,Property,2203.84,Bank,101,0
CUST-10138,25,Male,POL-10138,Motor,2289.96,Online,110,0
CUST-10139,29,Female,POL-10139,Health,738.34,Broker,44,0
CUST-10140,51,Male,POL-10140,Motor,1209.14,Broker,109,0
CUST-10141,50,Female,POL-10141,Health,1417.95,Online,45,1
CUST-10142,65,Female,POL-10142,Motor,2377.87,Online,29,0
CUST-10143,72,Female,POL-10143,Motor,2496.68,Bank,113,0
CUST-10144,40,Male,POL-10144,Health,664.98,Broker,88,0
CUST-10145,41,Male,POL-10145,Motor,1844.75,Bank,59,0
CUST-10146,54,Female,POL-10146,Motor,1007.27,Online,15,0
CUST-10147,52,Male,POL-10147,Motor,119.46,Online,70,0
CUST-10148,61,Male,POL-10148,Motor,122.21,Online,96,1
CUST-10149,57,Male,POL-10149,Motor,1205.36,Broker,44,0
CUST-10150,39,Male,POL-10150,Motor,1272.0,Bank,98,1
CUST-10151,44,Male,POL-10151,Property,154.17,Broker,36,0
CUST-10152,52,Male,POL-10152,Motor,1748.63,Broker,84,0
CUST-10153,18,Male,POL-10153,Health,805.61,Bank,57,0
CUST-10154,52,Female,POL-10154,Motor,1443.74,Online,117,0
CUST-10155,54,Male,POL-10155,Motor,822.21,Bank,64,0
CUST-10156,64,Male,POL-10156,Property,501.12,Online,76,0
CUST-10157,31,Male,POL-10157,Motor,1077.22,Direct,99,0
CUST-10158,20,Male,POL-10158,Property,657.46,Bank,113,1
CUST-10159,18,Male,POL-10159,Motor,1383.52,Broker,38,1
CUST-10160,22,Male,POL-10160,Health,577.19,Bank,120,0
CUST-10161,43,Male,POL-10161,Health,1320.17,Broker,17,0
CUST-10162,72,Male,POL-10162,Property,477.71,Bank,27,0
CUST-10163,31,Female,POL-10163,Health,1710.34,Broker,17,0
CUST-10164,56,Male,POL-10164,Health,1909.45,Online,63,1
CUST-10165,44,Male,POL-10165,Motor,364.95,Bank,11,0
CUST-10166,26,Male,POL-10166,Motor,1222.73,Direct,64,0
CUST-10167,32,Male,POL-10167,Property,270.09,Online,119,0
CUST-10168,32,Female,POL-10168,Motor,1535.64,Bank,39,0
CUST-10169,43,Female,POL-10169,Motor,734.57,Online,2,0
CUST-10170,59,Female,POL-10170,Health,1366.3,Bank,115,0
CUST-10171,30,Female,POL-10171,Motor,1341.91,Direct,66,0
CUST-10172,68,Female,POL-10172,Property,2318.45,Broker,54,0
CUST-10173,49,Female,POL-10173,Health,1417.8,Broker,29,0
CUST-10174,56,Female,POL-10174,Health,1499.2,Broker,45,0
CUST-10175,66,Female,POL-10175,Property,1063.97,Broker,88,0
CUST-10176,69,Female,POL-10176,Motor,2377.79,Online,88,0
CUST-10177,49,Female,POL-10177,Motor,1965.25,Broker,80,0
CUST-10178,21,Female,POL-10178,Health,784.97,Broker,31,1
CUST-10179,47,Female,POL-10179,Motor,2126.1,Broker,49,0
CUST-10180,54,Female,POL-10180,Health,1137.75,Bank,107,0
CUST-10181,40,Female,POL-10181,Property,2088.8,Online,9,1
CUST-10182,56,Female,POL-10182,Motor,2074.93,Direct,27,0
CUST-10183,62,Female,POL-10183,Motor,553.29,Bank,56,0
CUST-10184,32,Male,POL-10184,Property,1782.74,Broker,105,0
CUST-10185,60,Female,POL-10185,Motor,797.54,Bank,78,0
CUST-10186,46,Male,POL-10186,Health,813.98,Online,45,1
CUST-10187,53,Female,POL-10187,Motor,811.24,Broker,89,0
CUST-10188,30,Female,POL-10188,Property,1841.36,Online,43,0
CUST-10189,49,Male,POL-10189,Health,651.58,Online,108,1
CUST-10190,24,Female,POL-10190,Health,102.17,Direct,22,0
CUST-10191,68,Male,POL-10191,Property,1816.57,Bank,99,0
CUST-10192,39,Male,POL-10192,Motor,510.84,Broker,33,0
CUST-10193,45,Male,POL-10193,Motor,350.76,Broker,27,0
CUST-10194,19,Female,POL-10194,Property,670.04,Broker,40,0
CUST-10195,59,Female,POL-10195,Motor,1011.76,Broker,26,0
CUST-10196,62,Female,POL-10196,Health,1242.18,Broker,83,0
CUST-10197,74,Male,POL-10197,Property,206.97,Bank,45,0
CUST-10198,70,Male,POL-10198,Health,2429.38,Broker,103,0
CUST-10199,23,Female,POL-10199,Health,1818.55,Direct,45,0
CUST-10200,45,Female,POL-10200,Property,875.67,Online,26,0
CUST-10201,45,Female,POL-10201,Property,864.87,Bank,70,0
CUST-10202,61,Female,POL-10202,Motor,1176.5,Bank,67,1
CUST-10203,61,Female,POL-10203,Motor,1602.99,Online,6,0
CUST-10204,37,Male,POL-10204,Motor,451.3,Bank,28,0
CUST-10205,47,Male,POL-10205,Health,553.43,Online,67,1
CUST-10206,28,Male,POL-10206,Health,2162.64,Bank,13,1
CUST-10207,75,Female,POL-10207,Health,715.01,Online,63,0
CUST-10208,72,Male,POL-10208,Motor,1012.47,Broker,13,0
CUST-10209,45,Male,POL-10209,Health,2191.05,Direct,77,0
CUST-10210,42,Male,POL-10210,Motor,1691.55,Online,1,0
CUST-10211,56,Male,POL-10211,Health,920.11,Direct,40,0
CUST-10212,50,Male,POL-10212,Health,1740.88,Broker,37,0
CUST-10213,18,Female,POL-10213,Motor,147.24,Online,31,1
CUST-10214,74,Male,POL-10214,Motor,1865.54,Bank,116,0
CUST-10215,44,Female,POL-10215,Health,1268.84,Broker,17,1
CUST-10216,74,Female,POL-10216,Health,2051.64,Online,9,1
CUST-10217,69,Female,POL-10217,Motor,2391.13,Online,109,1
CUST-10218,30,Female,POL-10218,Property,2321.89,Bank,64,0
CUST-10219,58,Female,POL-10219,Health,2282.24,Bank,57,1
CUST-10220,20,Male,POL-10220,Property,1329.21,Online,13,0
CUST-10221,56,Male,POL-10221,Motor,964.34,Online,37,1
CUST-10222,23,Female,POL-10222,Health,1216.08,Broker,14,1
CUST-10223,25,Female,POL-10223,Property,1755.75,Online,75,1
CUST-10224,44,Female,POL-10224,Health,2221.59,Online,25,0
CUST-10225,26,Male,POL-10225,Health,596.77,Bank,95,0
CUST-10226,54,Female,POL-10226,Motor,2303.66,Online,78,0
CUST-10227,50,Male,POL-10227,Motor,2056.43,Broker,57,0
CUST-10228,68,Female,POL-10228,Motor,2449.25,Online,71,0
CUST-10229,59,Male,POL-10229,Motor,2212.6,Direct,88,0
CUST-10230,61,Female,POL-10230,Motor,771.85,Broker,113,0
CUST-10231,41,Male,POL-10231,Motor,354.29,Broker,100,0
CUST-10232,32,Female,POL-10232,Property,369.38,Broker,42,0
CUST-10233,71,Male,POL-10233,Motor,798.94,Bank,42,0
CUST-10234,49,Male,POL-10234,Health,1574.04,Broker,47,0
CUST-10235,49,Male,POL-10235,Property,2030.37,Broker,116,1
CUST-10236,41,Male,POL-10236,Health,2258.2,Bank,44,0
CUST-10237,58,Male,POL-10237,Motor,1597.01,Direct,41,0
CUST-10238,69,Male,POL-10238,Health,113.52,Broker,3,0
CUST-10239,66,Male,POL-10239,Health,547.16,Broker,111,0
CUST-10240,66,Female,POL-10240,Health,339.34,Broker,108,0
CUST-10241,75,Female,POL-10241,Health,971.98,Broker,90,0
CUST-10242,69,Female,POL-10242,Property,1303.24,Broker,111,0
CUST-10243,29,Female,POL-10243,Health,204.15,Online,90,1
CUST-10244,56,Female,POL-10244,Motor,936.35,Broker,1,0
CUST-10245,19,Male,POL-10245,Health,530.03,Direct,79,0
CUST-10246,20,Male,POL-10246,Motor,1652.97,Bank,11,0
CUST-10247,66,Male,POL-10247,Property,1214.25,Direct,101,0
CUST-10248,54,Male,POL-10248,Motor,1288.76,Bank,7,1
CUST-10249,66,Male,POL-10249,Motor,1126.46,Direct,12,0
CUST-10250,73,Female,POL-10250,Property,2394.45,Direct,116,0
CUST-10251,34,Female,POL-10251,Health,615.36,Online,38,0
CUST-10252,66,Female,POL-10252,Motor,1339.99,Broker,54,0
CUST-10253,19,Female,POL-10253,Health,1866.44,Broker,67,0
CUST-10254,19,Male,POL-10254,Property,1436.43,Online,106,0
CUST-10255,45,Male,POL-10255,Motor,2329.65,Direct,53,0
CUST-10256,71,Male,POL-10256,Property,1007.12,Online,90,0
CUST-10257,40,Female,POL-10257,Motor,1212.82,Bank,118,0
CUST-10258,54,Male,POL-10258,Health,312.45,Direct,94,0
CUST-10259,49,Female,POL-10259,Property,1561.6,Online,32,1
CUST-10260,50,Male,POL-10260,Motor,791.71,Online,100,0
CUST-10261,18,Male,POL-10261,Motor,484.74,Bank,45,1
CUST-10262,36,Female,POL-10262,Motor,1406.88,Bank,51,0
CUST-10263,19,Male,POL-10263,Health,1377.54,Bank,37,0
CUST-10264,70,Male,POL-10264,Health,282.09,Broker,119,0
CUST-10265,61,Female,POL-10265,Health,1775.72,Online,59,1
CUST-10266,43,Male,POL-10266,Motor,1597.05,Broker,54,0
CUST-10267,49,Female,POL-10267,Motor,553.64,Broker,18,0
CUST-10268,23,Male,POL-10268,Motor,1226.64,Bank,1,1
CUST-10269,49,Male,POL-10269,Motor,1828.77,Broker,117,0
CUST-10270,72,Male,POL-10270,Health,1370.65,Bank,21,0
CUST-10271,21,Male,POL-10271,Property,1049.17,Broker,28,0
CUST-10272,72,Male,POL-10272,Health,873.61,Bank,112,0
CUST-10273,28,Male,POL-10273,Motor,1564.95,Broker,16,0
CUST-10274,73,Male,POL-10274,Property,2353.86,Direct,48,0
CUST-10275,34,Male,POL-10275,Health,1712.19,Broker,28,0
CUST-10276,55,Female,POL-10276,Property,279.39,Online,22,0
CUST-10277,41,Female,POL-10277,Health,1205.64,Direct,83,0
CUST-10278,22,Male,POL-10278,Motor,2237.98,Online,112,0
CUST-10279,69,Male,POL-10279,Motor,326.71,Broker,1,1
CUST-10280,51,Female,POL-10280,Health,2473.3,Broker,95,0
CUST-10281,23,Male,POL-10281,Motor,2377.77,Broker,116,0
CUST-10282,39,Male,POL-10282,Motor,287.86,Direct,116,0
CUST-10283,28,Female,POL-10283,Health,2340.19,Bank,42,0
CUST-10284,65,Male,POL-10284,Health,971.52,Bank,98,0
CUST-10285,33,Male,POL-10285,Health,2127.3,Broker,110,0
CUST-10286,50,Female,POL-10286,Motor,1104.12,Online,104,0
CUST-10287,26,Male,POL-10287,Motor,1158.05,Online,70,0
CUST-10288,23,Male,POL-10288,Health,1622.18,Broker,92,0
CUST-10289,33,Female,POL-10289,Property,1958.75,Direct,3,1
CUST-10290,46,Male,POL-10290,Health,181.09,Online,95,1
CUST-10291,20,Female,POL-10291,Property,1523.57,Broker,80,1
CUST-10292,37,Male,POL-10292,Health,548.16,Broker,81,0
CUST-10293,53,Male,POL-10293,Health,930.28,Broker,44,0
CUST-10294,36,Female,POL-10294,Motor,935.12,Online,27,1
CUST-10295,43,Female,POL-10295,Health,1225.74,Broker,51,0
CUST-10296,20,Male,POL-10296,Health,901.93,Broker,24,1
CUST-10297,36,Female,POL-10297,Health,357.67,Direct,20,0
CUST-10298,37,Female,POL-10298,Health,449.51,Broker,32,0
CUST-10299,49,Male,POL-10299,Health,180.25,Broker,99,1
CUST-10300,24,Male,POL-10300,Motor,1228.6,Bank,13,1
CUST-10301,69,Male,POL-10301,Health,2390.67,Broker,112,0
CUST-10302,58,Female,POL-10302,Motor,377.62,Online,43,1
CUST-10303,50,Female,POL-10303,Property,2371.03,Direct,20,0
CUST-10304,57,Female,POL-10304,Motor,1860.07,Online,112,0
CUST-10305,56,Female,POL-10305,Motor,1630.0,Online,116,0
CUST-10306,35,Male,POL-10306,Motor,1648.67,Broker,2,0
CUST-10307,57,Female,POL-10307,Health,2084.15,Bank,68,0
CUST-10308,18,Male,POL-10308,Motor,356.61,Direct,91,1
CUST-10309,28,Female,POL-10309,Motor,1311.41,Bank,60,0
CUST-10310,45,Male,POL-10310,Health,1773.02,Direct,89,0
CUST-10311,74,Male,POL-10311,Motor,1508.37,Bank,4,1
CUST-10312,42,Male,POL-10312,Property,2098.67,Online,96,0
CUST-10313,67,Female,POL-10313,Property,273.45,Bank,17,0
CUST-10314,40,Male,POL-10314,Health,1757.68,Online,1,0
CUST-10315,48,Male,POL-10315,Motor,1381.67,Direct,33,0
CUST-10316,47,Female,POL-10316,Health,1009.99,Online,30,0
CUST-10317,59,Male,POL-10317,Motor,916.66,Bank,5,0
CUST-10318,52,Female,POL-10318,Health,1590.0,Bank,118,0
CUST-10319,24,Female,POL-10319,Motor,2238.39,Direct,12,0
CUST-10320,33,Male,POL-10320,Property,1290.82,Online,102,0
CUST-10321,43,Male,POL-10321,Motor,2079.34,Broker,32,0
CUST-10322,65,Female,POL-10322,Health,1065.18,Online,38,1
CUST-10323,74,Male,POL-10323,Health,345.75,Broker,17,0
CUST-10324,69,Female,POL-10324,Health,247.61,Direct,58,1
CUST-10325,66,Female,POL-10325,Motor,223.2,Bank,118,1
CUST-10326,19,Female,POL-10326,Property,1012.36,Broker,109,1
CUST-10327,18,Male,POL-10327,Health,909.37,Online,40,0
CUST-10328,65,Female,POL-10328,Health,1823.05,Online,96,1
CUST-10329,29,Male,POL-10329,Motor,1882.77,Broker,24,0
CUST-10330,22,Male,POL-10330,Health,222.05,Direct,12,0
CUST-10331,54,Male,POL-10331,Motor,630.7,Online,111,1
CUST-10332,49,Male,POL-10332,Motor,758.23,Broker,95,0
CUST-10333,72,Female,POL-10333,Motor,1414.27,Bank,19,1
CUST-10334,26,Male,POL-10334,Property,446.84,Bank,29,1
CUST-10335,58,Female,POL-10335,Motor,421.46,Broker,85,0
CUST-10336,52,Female,POL-10336,Motor,2365.09,Broker,90,0
CUST-10337,36,Male,POL-10337,Health,2030.09,Direct,52,0
CUST-10338,65,Female,POL-10338,Health,533.57,Online,92,0
CUST-10339,33,Female,POL-10339,Motor,1075.76,Broker,17,0
CUST-10340,20,Male,POL-10340,Health,953.49,Broker,73,0
CUST-10341,37,Female,POL-10341,Motor,1998.41,Online,21,0
CUST-10342,41,Female,POL-10342,Motor,1324.51,Bank,114,0
CUST-10343,71,Female,POL-10343,Motor,406.84,Direct,60,0
CUST-10344,73,Female,POL-10344,Property,1873.58,Direct,98,0
CUST-10345,50,Male,POL-10345,Motor,1052.53,Bank,75,0
CUST-10346,41,Female,POL-10346,Motor,731.02,Online,119,0
CUST-10347,69,Female,POL-10347,Motor,1001.2,Online,20,0
CUST-10348,28,Female,POL-10348,Property,1294.62,Online,113,1
CUST-10349,66,Female,POL-10349,Motor,923.48,Bank,53,0
CUST-10350,25,Male,POL-10350,Motor,680.57,Online,114,1
CUST-10351,53,Female,POL-10351,Motor,1056.4,Bank,111,0
CUST-10352,55,Male,POL-10352,Motor,146.01,Online,103,0
CUST-10353,57,Female,POL-10353,Health,1953.99,Online,80,0
CUST-10354,37,Male,POL-10354,Health,510.27,Broker,63,0
CUST-10355,52,Male,POL-10355,Motor,205.37,Direct,57,0
CUST-10356,65,Male,POL-10356,Motor,1668.88,Online,29,0
CUST-10357,42,Male,POL-10357,Motor,1957.45,Broker,1,0
CUST-10358,52,Male,POL-10358,Motor,2053.19,Online,82,0
CUST-10359,42,Female,POL-10359,Motor,1284.42,Broker,59,0
CUST-10360,46,Female,POL-10360,Health,592.88,Bank,64,0
CUST-10361,35,Female,POL-10361,Property,1869.35,Broker,86,0
CUST-10362,63,Male,POL-10362,Property,1779.31,Bank,72,0
CUST-10363,35,Female,POL-10363,Property,691.05,Online,71,0
CUST-10364,19,Male,POL-10364,Health,2268.18,Broker,89,1
CUST-10365,71,Male,POL-10365,Health,350.49,Online,94,0
CUST-10366,52,Female,POL-10366,Motor,2458.45,Broker,98,1
CUST-10367,33,Female,POL-10367,Health,2164.59,Direct,44,0
CUST-10368,58,Male,POL-10368,Health,1750.96,Direct,48,0
CUST-10369,53,Male,POL-10369,Health,2353.0,Broker,105,0
CUST-10370,50,Female,POL-10370,Health,1833.55,Bank,116,1
CUST-10371,21,Female,POL-10371,Motor,557.1,Broker,75,0
CUST-10372,50,Female,POL-10372,Motor,1161.17,Online,15,1
CUST-10373,31,Female,POL-10373,Property,271.61,Direct,35,0
CUST-10374,38,Male,POL-10374,Motor,1035.18,Online,23,0
CUST-10375,65,Female,POL-10375,Health,1879.85,Direct,53,0
CUST-10376,37,Female,POL-10376,Property,1027.46,Online,45,0
CUST-10377,73,Female,POL-10377,Health,892.71,Online,85,0
CUST-10378,25,Male,POL-10378,Health,1528.85,Online,92,1
CUST-10379,24,Male,POL-10379,Motor,2193.29,Broker,13,1
CUST-10380,20,Male,POL-10380,Motor,214.2,Online,34,1
CUST-10381,34,Male,POL-10381,Property,1025.13,Broker,38,1
CUST-10382,50,Female,POL-10382,Health,479.78,Broker,70,0
CUST-10383,65,Male,POL-10383,Health,1768.85,Direct,108,0
CUST-10384,29,Female,POL-10384,Motor,353.74,Direct,68,1
CUST-10385,68,Female,POL-10385,Motor,1695.54,Direct,5,1
CUST-10386,39,Female,POL-10386,Property,786.83,Online,119,0
CUST-10387,72,Female,POL-10387,Motor,577.4,Direct,40,0
CUST-10388,39,Male,POL-10388,Health,2347.25,Direct,70,0
CUST-10389,63,Male,POL-10389,Motor,144.46,Broker,21,0
CUST-10390,47,Male,POL-10390,Health,1150.67,Online,28,0
CUST-10391,55,Female,POL-10391,Property,151.9,Online,3,0
CUST-10392,55,Female,POL-10392,Health,1260.62,Direct,23,1
CUST-10393,62,Female,POL-10393,Motor,1302.51,Online,72,1
CUST-10394,68,Female,POL-10394,Health,871.99,Online,19,1
CUST-10395,71,Female,POL-10395,Health,417.19,Direct,117,0
CUST-10396,25,Male,POL-10396,Motor,1003.33,Online,75,1
CUST-10397,44,Female,POL-10397,Property,1713.43,Online,50,0
CUST-10398,44,Male,POL-10398,Health,1977.75,Online,74,1
CUST-10399,51,Female,POL-10399,Property,1373.8,Broker,58,0
CUST-10400,38,Female,POL-10400,Health,1515.6,Broker,92,0
CUST-10401,47,Male,POL-10401,Motor,581.48,Broker,20,0
CUST-10402,50,Male,POL-10402,Motor,789.59,Online,108,0
CUST-10403,45,Female,POL-10403,Motor,488.55,Bank,116,1
CUST-10404,64,Female,POL-10404,Property,698.31,Direct,92,0
CUST-10405,50,Female,POL-10405,Health,639.73,Broker,93,0
CUST-10406,22,Female,POL-10406,Health,1346.68,Online,72,0
CUST-10407,65,Male,POL-10407,Motor,1450.45,Bank,83,0
CUST-10408,36,Female,POL-10408,Motor,2367.87,Bank,53,0
CUST-10409,21,Male,POL-10409,Health,569.37,Online,112,0
CUST-10410,52,Female,POL-10410,Health,1640.02,Bank,85,0
CUST-10411,66,Male,POL-10411,Motor,2061.42,Broker,82,1
